naics_title,occ_title,state,amount_employed,annual_mean_wage,hourly_mean_wage
Cross-industry,All Occupations,US,"154,187,380","$67,920 ",$32.66 
Cross-industry,Management Occupations,US,"10,966,830","$141,760 ",$68.15 
Cross-industry,Top Executives,US,"3,822,780","$139,860 ",$67.24 
Cross-industry,Chief Executives,US,"211,850","$262,930 ",$126.41 
Cross-industry,Chief Executives,US,"211,850","$262,930 ",$126.41 
Cross-industry,General and Operations Managers,US,"3,584,420","$133,120 ",$64.00 
Cross-industry,General and Operations Managers,US,"3,584,420","$133,120 ",$64.00 
Cross-industry,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",US,"1,122,770","$163,740 ",$78.72 
Cross-industry,Advertising and Promotions Managers,US,"21,100","$149,270 ",$71.76 
Cross-industry,Advertising and Promotions Managers,US,"21,100","$149,270 ",$71.76 
Cross-industry,Marketing and Sales Managers,US,"988,680","$165,050 ",$79.35 
Cross-industry,Marketing Managers,US,"384,980","$171,520 ",$82.46 
Cross-industry,Sales Managers,US,"603,710","$160,930 ",$77.37 
Cross-industry,Public Relations and Fundraising Managers,US,"112,980","$154,950 ",$74.49 
Cross-industry,Public Relations Managers,US,"76,060","$163,520 ",$78.61 
Cross-industry,Fundraising Managers,US,"36,920","$137,290 ",$66.01 
Cross-industry,Operations Specialties Managers,US,"2,669,000","$160,590 ",$77.21 
Cross-industry,Administrative Services and Facilities Managers,US,"395,230","$121,920 ",$58.62 
Cross-industry,Administrative Services Managers,US,"254,140","$126,030 ",$60.59 
Cross-industry,Facilities Managers,US,"141,090","$114,520 ",$55.06 
Cross-industry,Computer and Information Systems Managers,US,"645,970","$187,990 ",$90.38 
Cross-industry,Computer and Information Systems Managers,US,"645,970","$187,990 ",$90.38 
Cross-industry,Financial Managers,US,"818,620","$180,470 ",$86.76 
Cross-industry,Financial Managers,US,"818,620","$180,470 ",$86.76 
Cross-industry,Industrial Production Managers,US,"234,380","$129,180 ",$62.11 
Cross-industry,Industrial Production Managers,US,"234,380","$129,180 ",$62.11 
Cross-industry,Purchasing Managers,US,"81,240","$150,630 ",$72.42 
Cross-industry,Purchasing Managers,US,"81,240","$150,630 ",$72.42 
Cross-industry,"Transportation, Storage, and Distribution Managers",US,"213,000","$116,010 ",$55.77 
Cross-industry,"Transportation, Storage, and Distribution Managers",US,"213,000","$116,010 ",$55.77 
Cross-industry,Compensation and Benefits Managers,US,"20,070","$156,230 ",$75.11 
Cross-industry,Compensation and Benefits Managers,US,"20,070","$156,230 ",$75.11 
Cross-industry,Human Resources Managers,US,"215,520","$160,480 ",$77.15 
Cross-industry,Human Resources Managers,US,"215,520","$160,480 ",$77.15 
Cross-industry,Training and Development Managers,US,"44,960","$140,590 ",$67.59 
Cross-industry,Training and Development Managers,US,"44,960","$140,590 ",$67.59 
Cross-industry,Other Management Occupations,US,"3,352,280","$121,560 ",$58.44 
Cross-industry,"Farmers, Ranchers, and Other Agricultural Managers",US,"5,910","$97,240 ",$46.75 
Cross-industry,"Farmers, Ranchers, and Other Agricultural Managers",US,"5,910","$97,240 ",$46.75 
Cross-industry,Construction Managers,US,"348,330","$119,660 ",$57.53 
Cross-industry,Construction Managers,US,"348,330","$119,660 ",$57.53 
Cross-industry,Education and Childcare Administrators,US,"621,000","$109,470 ",$52.63 
Cross-industry,"Education and Childcare Administrators, Preschool and Daycare",US,"71,620","$62,640 ",$30.12 
Cross-industry,"Education Administrators, Postsecondary",US,"176,420","$124,450 ",$59.83 
Cross-industry,"Education Administrators, All Other",US,"53,330","$99,460 ",$47.82 
Cross-industry,Architectural and Engineering Managers,US,"210,340","$175,710 ",$84.48 
Cross-industry,Architectural and Engineering Managers,US,"210,340","$175,710 ",$84.48 
Cross-industry,Food Service Managers,US,"244,230","$72,370 ",$34.79 
Cross-industry,Food Service Managers,US,"244,230","$72,370 ",$34.79 
Cross-industry,Entertainment and Recreation Managers,US,"41,320","$88,780 ",$42.68 
Cross-industry,Gambling Managers,US,"4,620","$102,480 ",$49.27 
Cross-industry,"Entertainment and Recreation Managers, Except Gambling",US,"36,700","$87,060 ",$41.86 
Cross-industry,Lodging Managers,US,"41,350","$77,460 ",$37.24 
Cross-industry,Lodging Managers,US,"41,350","$77,460 ",$37.24 
Cross-industry,Medical and Health Services Managers,US,"565,840","$137,730 ",$66.22 
Cross-industry,Medical and Health Services Managers,US,"565,840","$137,730 ",$66.22 
Cross-industry,Natural Sciences Managers,US,"100,870","$173,500 ",$83.41 
Cross-industry,Natural Sciences Managers,US,"100,870","$173,500 ",$83.41 
Cross-industry,Postmasters and Mail Superintendents,US,"13,810","$93,760 ",$45.08 
